寮€鐩樹环(鍏?,鏈€楂樹环(鍏?,鏈€浣庝环(鍏?,鏀剁洏浠?鍏?,鎴愪氦棰?鐧句竾),鎴愪氦閲?鑲?
1712.19,1740.96,1700.47,1713.44,249502.66,18032084800.0
1714.38,1728.64,1686.99,1688.97,213230.19,15102489600.0
1670.45,1697.72,1663.31,1685.24,175661.78,12701335200.0
1704.51,1762.68,1704.51,1745.29,301200.77,20657699200.0
1740.03,1748.87,1722.53,1729.08,257719.89,17154846400.0
1741.87,1748.01,1700.08,1711.46,233192.21,15856956800.0
1717.91,1777.3,1717.91,1772.43,358220.03,23292392000.0
1780.45,1843.27,1780.04,1837.21,488942.59,31803849600.0
1860.61,1886.37,1855.27,1886.37,522811.33,33811465600.0
1870.56,1896.21,1860.43,1880.78,446072.8,27915648000.0
1874.56,1902.53,1870.08,1902.53,413919.36,24786673600.0
1885.12,1911.58,1869.33,1876.11,462982.82,27035587200.0
1870.32,1890.65,1861.1,1885.18,352616.35,20995724800.0
1896.36,1914.81,1868.74,1874.66,393732.96,23985137600.0
1871.17,1874.6,1824.89,1840.51,335925.54,20705008000.0
1856.29,1906.77,1856.29,1906.77,394017.86,23062550400.0
1916.61,1931.43,1906.68,1912.21,444707.04,25073924800.0
1903.34,1909.42,1872.51,1901.52,365472.54,21570843200.0
1903.64,1953.46,1899.9,1951.1,436963.39,26293584000.0
1943.92,1963.07,1939.44,1961.71,446499.52,26105440000.0
1967.06,1970.87,1930.26,1930.26,454602.02,26608648000.0
1914.38,1920.75,1889.83,1914.32,377726.08,22215569600.0
1931.6,1961.69,1931.6,1952.48,415014.18,24567624000.0
1950.31,1954.42,1914.62,1935.6,375336.51,21714299200.0
1945.74,1984.96,1945.74,1962.43,492216.26,31065097600.0
1972.65,1982.45,1957.77,1982.45,389559.3,24066385600.0
1982.87,1985.54,1967.52,1978.58,361317.79,21846876800.0
1965.74,1965.74,1938.77,1952.41,348468.26,20878340800.0
1960.46,1966.54,1944.57,1958.2,324917.89,18869718400.0
1963.61,1966.63,1840.16,1871.51,489424.06,30452790400.0
1862.59,1885.17,1846.58,1848.53,335555.1,21375284800.0
1836.13,1867.56,1832.43,1867.56,273544.22,17067252800.0
1861.8,1865.6,1835.88,1859.9,250353.49,15408529600.0
1857.68,1881.99,1855.3,1881.99,247611.36,15135099200.0
